pnr,tract_id,trips
38th & Blake,08001009308,14.641345178527258
38th & Blake,08001009309,6.091442657710245
38th & Blake,08001009310,8.450217209403426
38th & Blake,08001009316,4.847586728193212
38th & Blake,08001009318,6.784064716449582
38th & Blake,08001009319,1.6344067779170681
38th & Blake,08001009320,2.878238774337016
38th & Blake,08001009321,3.137394365533512
38th & Blake,08001009322,3.767817832684826
38th & Blake,08001009323,4.699449065777065
38th & Blake,08001009325,7.1072962658985235
38th & Blake,08001009326,2.9417564964899237
38th & Blake,08001009327,5.908902272116023
38th & Blake,08001009401,6.909153631582871
38th & Blake,08001009406,4.747615140867678
38th & Blake,08001009407,7.526961712308795
38th & Blake,08001009408,5.075097054953567
38th & Blake,08001009409,3.5396989015086104
38th & Blake,08001009410,1.5127183682710656
38th & Blake,08001009411,1.7133863845826718
38th & Blake,08001009501,4.915142783109335
38th & Blake,08001009502,11.374129417905316
38th & Blake,08001009553,35.74409987378009
38th & Blake,08001009603,10.030147765244045
38th & Blake,08001009604,6.321396311870917
38th & Blake,08001009606,5.985550993881923
38th & Blake,08001009607,7.236086930026754
38th & Blake,08001009608,5.140262811883273
38th & Blake,08001009751,10.07170400676847
38th & Blake,08001009752,7.466793898584133
38th & Blake,08001015000,29.627207630811764
38th & Blake,08001060001,2.4527704312483336
38th & Blake,08001060002,4.226160198204694
38th & Blake,08001060100,9.475840240152552
38th & Blake,08001060200,4.274502639273947
38th & Blake,08001061200,2.70658288972439
38th & Blake,08001988700,0.0
38th & Blake,08005004951,3.461784532224667
38th & Blake,08005004952,7.2874077292936486
38th & Blake,08005005551,3.717324464802308
38th & Blake,08005005552,3.1234470299639274
38th & Blake,08005005553,3.5650030968366098
38th & Blake,08005005611,1.0158596665430755
38th & Blake,08005005612,0.8841226925117147
38th & Blake,08005005614,1.062540541613535
38th & Blake,08005005619,1.9555488885088397
38th & Blake,08005005620,2.4015514056215674
38th & Blake,08005005621,0.8101774752978776
38th & Blake,08005005622,1.844040926910231
38th & Blake,08005005623,2.131229184591384
38th & Blake,08005005624,1.21802142264263
38th & Blake,08005005625,1.96463287922997
38th & Blake,08005005626,1.5292188132342637
38th & Blake,08005005627,2.1268391149875443
38th & Blake,08005005628,2.8074898758924487
38th & Blake,08005005629,1.1970970916381316
38th & Blake,08005005630,2.5597395220093597
38th & Blake,08005005631,1.8906785383222948
38th & Blake,08005005632,1.7155588167032334
38th & Blake,08005005633,2.2074055800882313
38th & Blake,08005005634,1.8877237797443904
38th & Blake,08005005635,2.122631123004514
38th & Blake,08005005636,0.3175380203770317
38th & Blake,08005005701,3.248317643911002
38th & Blake,08005005702,3.2893899361910126
38th & Blake,08005005800,4.504670157719786
38th & Blake,08005005951,7.689740796893565
38th & Blake,08005005952,5.433091628550999
38th & Blake,08005006000,3.1122106565016074
38th & Blake,08005006100,1.868127753559336
38th & Blake,08005006200,3.2653819357468565
38th & Blake,08005006300,1.1099526216496123
38th & Blake,08005006400,2.5994784828615782
38th & Blake,08005006501,2.1594623214652757
38th & Blake,08005006502,2.9197993523214567
38th & Blake,08005006601,4.5859863582571
38th & Blake,08005006603,1.2329330273948431
38th & Blake,08005006604,2.5491461776246123
38th & Blake,08005006704,2.4540914182622786
38th & Blake,08005006705,0.9961792419590508
38th & Blake,08005006706,3.279680493357689
38th & Blake,08005006707,6.302163658083655
38th & Blake,08005006708,2.1757052960171923
38th & Blake,08005006709,5.274250443327881
38th & Blake,08005006711,3.379163747156685
38th & Blake,08005006712,1.4591930617093039
38th & Blake,08005006713,1.618775696795434
38th & Blake,08005006808,1.7919627348017908
38th & Blake,08005006815,8.072856578519133
38th & Blake,08005006854,1.9802707022087267
38th & Blake,08005006857,0.7555816592099864
38th & Blake,08005006859,3.0825092371749987
38th & Blake,08005006860,2.1349069612076517
38th & Blake,08005006861,5.547339741274741
38th & Blake,08005006862,2.2669811777517945
38th & Blake,08005006863,3.008643209856773
38th & Blake,08005006864,3.1039910096905374
38th & Blake,08005007103,0.0
38th & Blake,08005007106,0.07776856355497735
38th & Blake,08005007108,0.9581123057594682
38th & Blake,08005007109,0.03489576464937838
38th & Blake,08005007110,1.4064241014731196
38th & Blake,08005007111,2.8610518517604984
38th & Blake,08005007112,4.538706146019182
38th & Blake,08005007113,1.023450419028716
38th & Blake,08005007201,1.4570629683054044
38th & Blake,08005007202,1.9146837806984502
38th & Blake,08005007301,3.699029479210235
38th & Blake,08005007302,3.469167843636733
38th & Blake,08005007400,4.157907808059161
38th & Blake,08005007500,2.8240833963057073
38th & Blake,08005007600,4.016305719669427
38th & Blake,08005007702,3.7867644002643353
38th & Blake,08005007703,2.867433332359151
38th & Blake,08005007704,3.3309353953072023
38th & Blake,08005015100,2.6769160617991883
38th & Blake,08005080000,1.5665366528713665
38th & Blake,08005080100,2.357048117397211
38th & Blake,08005080200,3.9434249163463555
38th & Blake,08005080300,4.158618097180577
38th & Blake,08005080400,3.6710571729312456
38th & Blake,08005080500,3.366505988526433
38th & Blake,08005080600,2.889149570813994
38th & Blake,08005080700,3.9372153711304887
38th & Blake,08005080800,1.9424728341139956
38th & Blake,08005080900,3.0303360257721885
38th & Blake,08005081001,1.9450007116298718
38th & Blake,08005081002,1.897846152546505
38th & Blake,08005081101,2.426007104095611
38th & Blake,08005081102,1.1184760847581197
38th & Blake,08005081200,3.658217224483523
38th & Blake,08005081300,2.427247365012334
38th & Blake,08005081400,4.782705170188496
38th & Blake,08005081500,2.408982269093249
38th & Blake,08005081600,2.8415121319935497
38th & Blake,08005081700,1.1780241363393653
38th & Blake,08005081800,5.722390441321242
38th & Blake,08005081900,5.591907837228804
38th & Blake,08005082000,2.1441159704713706
38th & Blake,08005082100,3.4233768175638253
38th & Blake,08005082200,6.1911320957862515
38th & Blake,08005082300,3.330576368263788
38th & Blake,08005082400,3.579063982992623
38th & Blake,08005082500,1.058902060556481
38th & Blake,08005082600,2.674850160294404
38th & Blake,08005082700,2.3630454172056066
38th & Blake,08005082800,2.902093849205404
38th & Blake,08005082900,2.1415310915097425
38th & Blake,08005083000,0.6493424184101878
38th & Blake,08005083100,1.0099507923704152
38th & Blake,08005083201,2.435612482855798
