tract_id,pnr,trips
08001008200,Westminster Station,0.0
08001008200,Wheat Ridge/Ward Rd,2.3358546526741653
08001008308,38th & Blake,14.704680594546346
08001008308,40th & Colorado Station,5.9071098999186935
08001008308,40th Ave & Airport Blvd,731.5927853435642
08001008308,41st & Fox,12.124117747811077
08001008308,8th & Coffman Park-n-Ride,1.2935658507187926
08001008308,Arapahoe @ Village Center Station,26.131947430947243
08001008308,Central Park,79.10267849473614
08001008308,Colorado Station,3.3825755235301567
08001008308,Eastlake & 124th,0.8066736211363558
08001008308,Federal Center,12.412675469049205
08001008308,I-25/Broadway,5.757396462968544
08001008308,Jefferson County Government Center,0.025322419974831065
08001008308,Lincoln & Jordan Park-n-Ride,0.2759674008518067
08001008308,Lincoln Station,2.122575669850144
08001008308,Littleton Downtown Station,1.6740659619178557
08001008308,Mineral Station,0.649534770935287
08001008308,Nine Mile Station,35.14964636346796
08001008308,Olde Town Arvada,5.170902722775434
08001008308,Peoria Station,388.60438794784227
08001008308,Ridgegate Pkwy Station,4.69249753110423
08001008308,Table Mesa Park-n-Ride,2.737741938411187
08001008308,Thornton Crossroads & 104th,1.605159565161178
08001008308,Thornton Park-n-Ride (East Lot),0.7507522287347936
08001008308,Thornton Park-n-Ride (West Lot),0.0
08001008308,US 36 & Broomfield Station,4.616509227072674
08001008308,US 36 & Sheridan Station (East Lot),1.0990722761636447
08001008308,US 36 & Sheridan Station (West Lot),0.9858196387645058
08001008308,US-36/McCaslin Park-n-Ride (North Lot),0.167514965916634
08001008308,US-36/McCaslin Park-n-Ride (South Lot),0.163897477348801
08001008308,University of Denver Station,2.3252569215168255
08001008308,Wagon Rd Park-n-Ride,5.809180900119106
08001008308,Westminster Station,0.0
08001008308,Wheat Ridge/Ward Rd,1.2506323378927302
08001008309,38th & Blake,5.852494253592102
08001008309,40th & Colorado Station,2.991765131501383
08001008309,40th Ave & Airport Blvd,825.3268893976718
08001008309,41st & Fox,6.429363801580976
08001008309,8th & Coffman Park-n-Ride,0.27537666335642774
08001008309,Arapahoe @ Village Center Station,16.03908811725706
08001008309,Central Park,32.71141841747356
08001008309,Colorado Station,1.6787658198343571
08001008309,Eastlake & 124th,0.3447751434990144
08001008309,Federal Center,7.126690804623488
08001008309,I-25/Broadway,3.9729534161053985
08001008309,Jefferson County Government Center,0.006818080246267755
08001008309,Lincoln & Jordan Park-n-Ride,0.2142988019975946
08001008309,Lincoln Station,0.9448306716578496
08001008309,Littleton Downtown Station,1.3751486483365292
08001008309,Mineral Station,0.22075952290564588
08001008309,Nine Mile Station,12.762584286713274
08001008309,Olde Town Arvada,1.86203938183369
08001008309,Peoria Station,81.06803040753682
08001008309,Ridgegate Pkwy Station,2.286097640511201
08001008309,Table Mesa Park-n-Ride,1.1780010587910297
08001008309,Thornton Crossroads & 104th,0.629250530398425
08001008309,Thornton Park-n-Ride (East Lot),0.7133011428464076
08001008309,Thornton Park-n-Ride (West Lot),0.0
08001008309,US 36 & Broomfield Station,1.4032087891826528
08001008309,US 36 & Sheridan Station (East Lot),0.2142988019975946
08001008309,US 36 & Sheridan Station (West Lot),0.3541020189938049
08001008309,US-36/McCaslin Park-n-Ride (North Lot),0.0
08001008309,US-36/McCaslin Park-n-Ride (South Lot),0.0
08001008309,University of Denver Station,1.2690404036787333
08001008309,Wagon Rd Park-n-Ride,3.668801029046183
08001008309,Westminster Station,0.0
08001008309,Wheat Ridge/Ward Rd,0.28287139272442074
08001008354,38th & Blake,63.896300096113755
08001008354,40th & Colorado Station,64.64065319690806
08001008354,40th Ave & Airport Blvd,826.1391026856367
08001008354,41st & Fox,34.69706439846987
08001008354,8th & Coffman Park-n-Ride,1.4673487820061815
08001008354,Arapahoe @ Village Center Station,181.5069276440359
08001008354,Central Park,129.30850267595244
08001008354,Colorado Station,7.302509518955222
08001008354,Eastlake & 124th,4.417298467250182
08001008354,Federal Center,16.156755457710922
08001008354,I-25/Broadway,56.24804509887163
08001008354,Jefferson County Government Center,9.482983290527267
08001008354,Lincoln & Jordan Park-n-Ride,3.1260179348591457
08001008354,Lincoln Station,6.281984806347592
08001008354,Littleton Downtown Station,11.886252379382938
08001008354,Mineral Station,3.7167540813279745
08001008354,Nine Mile Station,491.65496635959556
08001008354,Olde Town Arvada,19.8556403747962
08001008354,Peoria Station,75.95030369515966
08001008354,Ridgegate Pkwy Station,14.812225878648999
08001008354,Table Mesa Park-n-Ride,552.204602647181
08001008354,Thornton Crossroads & 104th,102.65350876054339
08001008354,Thornton Park-n-Ride (East Lot),5.366183535778363
08001008354,Thornton Park-n-Ride (West Lot),0.0
08001008354,US 36 & Broomfield Station,17.260807174711957
08001008354,US 36 & Sheridan Station (East Lot),1.3286599782098314
08001008354,US 36 & Sheridan Station (West Lot),3.1026319589055267
08001008354,US-36/McCaslin Park-n-Ride (North Lot),17.336743910030908
